男|甘肃|1985|同济大学（四平路）|本科在读|本科在读|材料科学与工程|本科大四学生|小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|性格温和，有热情，做事认真稳重||小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|||
男|安徽|1985|上海海事大学（洋泾）|本科在读|本科在读|电气工程|本科大四学生|初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三英语,初三物理,初中奥数,高一高二数学,高一高二物理,高三数学,高考心里辅导,初三化学,|认真仔细有耐心||初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三英语,初三物理,初中奥数,高一高二数学,高一高二物理,高三数学,高考心里辅导,初三化学,|||
男|福建|1982|上海大学（延长路）|硕士在读|硕士在读|材料加工工程|在读硕士生|小学数学,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,|全国计算机等级三级||小学数学,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,|||
男|浙江|1978|上海交通大学（其它）|硕士在读|硕士在读|临床医学|在读硕士生|小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,中考心里辅导,|语言表达能力强，细心，耐心，富有亲和力，多次获得一等奖学金，奥赛理化全国二等奖||小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,中考心里辅导,|||
女|上海|1985|复旦大学（邯郸路）|本科在读|本科在读|法律|本科大三学生||出身在上海，8岁时到日本居住10年，日语没有问题，普通话也良好。|||||
女|江苏|1985|华东政法大学（松江）|本科在读|本科在读|政治学与行政学|本科大三学生|初三语文,初三英语,初三数学,初三物理,中考心里辅导,高一高二语文,高一高二英语,高一高二数学,高三语文,高三英语,高考心里辅导,|对于自我的要求是严格的，学习生活的态度是严谨，我一直努力成为一个有责任心的为社会做贡献的人！||初三语文,初三英语,初三数学,初三物理,中考心里辅导,高一高二语文,高一高二英语,高一高二数学,高三语文,高三英语,高考心里辅导,|||
男|上海|1986|同济大学（四平路）|本科在读|本科在读|通信工程|本科大三学生|计算机基本操作,小学数学,小学英语,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,|脾气好,有耐心,善于解答问题||计算机基本操作,小学数学,小学英语,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,|||
女|英国|1981|英国利兹大学|本科毕业|本科毕业|中国现代学习|外籍留学生|初级英语口语,托福,商务英语,精准英语语音,高级英语口语,钢琴,|英国留学生，中文流利，善于沟通；曾学过１４年的钢琴，打算一直住在中国　||初级英语口语,托福,商务英语,精准英语语音,高级英语口语,钢琴,|||
女|上海|1982|上海大学（延长路）|硕士在读|硕士在读|物理系光学专业|在读硕士生|初一初二数学,初一初二物理,初一初二英语,高一高二英语,高一高二数学,高一高二物理,英语四级,英语六级,|我出生于上海一个知识分子家庭,从小接受良好的教育,初高中均在南洋模范中学学习。在大学学习期间,每年均获得学校奖学金,并且在二年级就通过了英语六级考试中级口译和上海市计算机二级考试；现为光学在读硕士生。做事有耐心，有亲和力，我相信我有能力胜任这份家教工作。||初一初二数学,初一初二物理,初一初二英语,高一高二英语,高一高二数学,高一高二物理,英语四级,英语六级,|||
男|上海|1985|复旦大学（邯郸路）|本科在读|本科在读|英语（商务）|本科大三学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,|耐心||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,|||
男|上海|1983|复旦大学（其它）|本科在读|本科在读|金融学|本科大四学生|小学语文,小学数学,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三数学,初三物理,初三化学,初中奥数,中考心里辅导,高一高二数学,高一高二物理,|性格和蔼，亲切。||小学语文,小学数学,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三数学,初三物理,初三化学,初中奥数,中考心里辅导,高一高二数学,高一高二物理,|||
女|安徽|1984|上海外国语大学（松江）|本科在读|本科在读|广告|本科大四学生|小学英语,初一初二英语,初三英语,高一高二英语,高三英语,精准普通话,初级英语口语,初级新概念英语,英语四级,英语六级,雅思,精准英语语音,书法,|英语四六级优秀，雅思7分（国外名校硕士生入学标准）书法作品多次获国家省市大奖，并入选各类作品集和展览||小学英语,初一初二英语,初三英语,高一高二英语,高三英语,精准普通话,初级英语口语,初级新概念英语,英语四级,英语六级,雅思,精准英语语音,书法,|||
男|黑龙江|1981|同济大学（四平路）|本科在读|本科在读|机械|本科大四学生|小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,|本人认真负责.有耐心!待人诚恳!曾获得多种奖励!!||小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,|||
男|美国|1979|musiccollege|本科毕业|本科毕业|爵士鼓|外籍教师|高级英语口语,打击乐,|毕业于美国著名音乐学院,现在在英国国际学校,美国国际学校担任爵士鼓老师,上海著名的美国爵士乐手.||高级英语口语,打击乐,|||
女|浙江|1984|华东师范大学（普陀）|本科在读|本科在读|艺术学院艺术设计专业|本科大三学生|小学语文,小学英语,书法,美术,中国画,计算机基本操作,图像处理软件,网页设计与制作,精准普通话,|本人在校成绩优良，获得专业一等奖学金勤为奖学金和优秀班干部.期待您的考验!||小学语文,小学英语,书法,美术,中国画,计算机基本操作,图像处理软件,网页设计与制作,精准普通话,|||
男|上海|1986|上海戏剧学院（华山路）|本科在读|本科在读|动漫画设计|本科大二学生|美术,卡通画,素描，水粉画|本人对于素描，水粉画，动漫画，较精通，熟悉艺术类中考高考的专业考试情况。本人善于表达，性格开朗，望有意者尽快联络本人。||美术,卡通画,素描，水粉画|||
女|江西|1986|东华大学（长宁）|本科在读|本科在读|环境设计|本科大四学生|小学语文,小学数学,初一初二语文,美术,卡通画,卡拉OK/歌咏,|擅长绘画　唱歌　　亲切～～哈哈||小学语文,小学数学,初一初二语文,美术,卡通画,卡拉OK/歌咏,|||
男|河南|1979|复旦大学|本科毕业|本科毕业|自动控制|进修大学教师|初一初二语文,初一初二英语,高一高二语文,高一高二英语,交谊舞,吉它,计算机基本操作,计算机应用能力初级,计算机应用能力中级,中国象棋,|||初一初二语文,初一初二英语,高一高二语文,高一高二英语,交谊舞,吉它,计算机基本操作,计算机应用能力初级,计算机应用能力中级,中国象棋,|计算机|3|大学助教
男|上海|1983|上海师范大学（徐汇）|本科在读|本科在读|中文|本科大四学生|小学语文,小学数学,初一初二语文,初一初二英语,上海话,精准普通话,英语四级,|||小学语文,小学数学,初一初二语文,初一初二英语,上海话,精准普通话,英语四级,|||
女|江苏|1985|同济大学（四平路）|本科在读|本科在读|中文系戏剧影视文学专业|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二数学,初一初二英语,计算机基础及office应用|学习优秀，曾获学校二等奖学金和国家三等奖学金开朗、活泼、乐于助人,能够做到吃苦耐劳，有较强的语言组织能力和灵活应变能力；较强的沟通能力，能够与不同类型的人打交道；高度的责任感，做事一丝不苟，并能坚持到底，持之以恒；||小学语文,小学数学,小学英语,初一初二语文,初一初二数学,初一初二英语,计算机基础及office应用|||
男|上海|1986|上海大学（宝山）|本科在读|本科在读|通信与信息工程|本科大三学生|小学数学,小学英语,初一初二数学,初一初二英语,初一初二物理,|学习成绩优秀，高中时参加过学校推荐的数学，英语，物理，化学等竞赛。数学的希望杯进入过复赛。高考时成绩490分，为人忠厚老实，喜欢篮球，足球等体育运动||小学数学,小学英语,初一初二数学,初一初二英语,初一初二物理,|||
女|上海|1986|上海海事大学（洋泾）|本科在读|本科在读|经济学|本科大三学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三英语,中考心里辅导,精准普通话,计算机基本操作,|||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三英语,中考心里辅导,精准普通话,计算机基本操作,|||
女|澳大利亚|1982|澳洲塔斯马尼亚大学|硕士在读|硕士在读|信息系统|外籍留学生|小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级英语口语,英语四级,英语六级,初级新概念英语,雅思,|英语过4，6级，口语A,4级优秀，雅思6.5，现在在澳洲在读研究生，11月13号回上海度假。||小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级英语口语,英语四级,英语六级,初级新概念英语,雅思,|||
女|上海|1985|上海师范大学（奉贤）|本科在读|本科在读|人力资源管理|本科大四学生|小学数学,小学奥数,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,高三英语,上海话,精准普通话,初级新概念英语,英语四级,初级日语,英语六级,|耐心，认真负责，有丰富的家教经验，愿意长期带学生，从小学开始就一直是英语课代表，从小学习成绩优秀，英语六级，日语三级并准备考一级，在读中级口译，高中校三好,大一获校奖学金，现在是校学生会干事。||小学数学,小学奥数,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,高三英语,上海话,精准普通话,初级新概念英语,英语四级,初级日语,英语六级,|||
男|江苏|1985|上海海事大学（金桥）上海海事大学本部|本科在读|本科在读|电子信息工程|本科大三学生|小学语文,小学数学,初一初二数学,初一初二物理,初三数学,初三物理,高一高二数学,高一高二物理,高三物理,上海话,高中生物，初中生物|上海人，在江苏读的中学。毕业中学为江苏省镇江中学，相当与上海市重点。语文曾经在全市统考中取得全市第一的成绩。理科能力较好，犹以生物最为突出。思维活跃，动手能力较强，在市航空模型竞赛中也多次获奖。大一在校级百科知识竞赛中获得第四名的成绩。现在是校团委干部以及班委。||小学语文,小学数学,初一初二数学,初一初二物理,初三数学,初三物理,高一高二数学,高一高二物理,高三物理,上海话,高中生物，初中生物|||
男|上海|1986|复旦大学（其它）|本科在读|本科在读|国际经济与贸易|本科大三学生|小学语文,小学数学,小学英语,初一初二英语,初级新概念英语,初级牛津英语,初一初二语文,初一初二数学,初一初二物理,|为人正直，对学生认真负责，详细情况可以单独了解||小学语文,小学数学,小学英语,初一初二英语,初级新概念英语,初级牛津英语,初一初二语文,初一初二数学,初一初二物理,|||
男|河南|1972|华东师范大学（普陀）|博士在读|博士在读|思想政治专业|在读博士生|高级英语口语,高级牛津英语,高级新概念英语,雅思,英语四级,英语六级,初级新概念英语,初级牛津英语,高三英语,高一高二英语,初三英语,初一初二英语,小学英语,|||高级英语口语,高级牛津英语,高级新概念英语,雅思,英语四级,英语六级,初级新概念英语,初级牛津英语,高三英语,高一高二英语,初三英语,初一初二英语,小学英语,|||
女|江苏|1983|同济大学（四平路）|本科在读|本科在读|土木工程　|本科大四学生|小学语文,小学数学,初一初二数学,初一初二语文,计算机基本操作,计算机应用能力初级,三校生市政工程专业，土木专业基础或专业课|爱好运动，喜欢交际，有良好的沟通能力和组织能力．中学是校宣传部长，市三好学生．现任院体育部部长，团支部书记．||小学语文,小学数学,初一初二数学,初一初二语文,计算机基本操作,计算机应用能力初级,三校生市政工程专业，土木专业基础或专业课|||
男|四川|1979|西华师范大学|本科毕业|本科毕业|数学与应用数学|离职高中教师|高一高二数学,高一高二物理,高一高二化学,|实力源自专业成功源自努力你的进步源自你我愉悦的合作我们针对薄弱章节测试，签定目标分数再教学助你上进||高一高二数学,高一高二物理,高一高二化学,|数学|1|尚无职称等级
男|上海|1981|东华大学|本科毕业|本科毕业|应用化学（生物工程）|助理工程师|小学数学,小学英语,初一初二英语,初一初二数学,初一初二化学,初三英语,初三化学,初三数学,高一高二数学,高一高二化学,高三数学,高三化学,上海话,|大学英语六级，大学线性代数，大学物理化学和有机化学免修，大学化学英语翻译竞赛一等奖。||小学数学,小学英语,初一初二英语,初一初二数学,初一初二化学,初三英语,初三化学,初三数学,高一高二数学,高一高二化学,高三数学,高三化学,上海话,|||
女|江苏|1983|华东理工大学（梅陇）|本科在读|本科在读|高分子材料科学与工程|本科大四学生|初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,初中奥数,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高等数学,高三化学,精准普通话,小学数学,物理竞赛|曾获省级数学物理竞赛二等奖大学两年一等奖学金英语四六级已过参加过gre考试||初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,初中奥数,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高等数学,高三化学,精准普通话,小学数学,物理竞赛|||
女|福建|1980|上海对外贸易学院|硕士在读|硕士在读|商务英语|在读硕士生|英语四级,英语六级,商务英语,高级英语口语,雅思,高级新概念英语,高级牛津英语,托福,初级新概念英语,初级英语口语,初级牛津英语,高一高二英语,高三英语,|口语流利，有三年大学教学经验和现场翻译经验，熟悉各种大学英语的精读、口语、听力的课程教学。有大学英语四六级、商务英语口语、新概念及剑桥少儿英语的教学经验。有教师资格证，过专业八级、普通话考试和商务英语BECII||英语四级,英语六级,商务英语,高级英语口语,雅思,高级新概念英语,高级牛津英语,托福,初级新概念英语,初级英语口语,初级牛津英语,高一高二英语,高三英语,|||
女|上海|1982|南京航天航空大学|本科毕业|本科毕业|外贸英语|工作者|小学英语,小学语文,小学数学,初一初二英语,初三英语,|有3年家教经验 初高中多次获得数学竞赛的名次奖 教学方式活跃，学生容易接受 学习方法好||小学英语,小学语文,小学数学,初一初二英语,初三英语,|||
女|上海|1984|同济大学（四平路）|本科在读|本科在读|德语系|本科大四学生|高一高二英语,高一高二物理,初级德语,初级新概念英语,初一初二语文,初一初二英语,初一初二数学,|家教经验丰富，尤其是德语家教，具有良好的口头表达能力，有亲和力||高一高二英语,高一高二物理,初级德语,初级新概念英语,初一初二语文,初一初二英语,初一初二数学,|||
男|河南|19790128|河南的师范大学|本科毕业|本科毕业|数学|教师|小学奥数,高一高二数学,初中数学,初中物理,初中奥数,|||小学奥数,高一高二数学,初中数学,初中物理,初中奥数,|||
女|江苏|1985|华东理工大学（梅陇）|本科在读|本科在读|法学|本科大四学生|小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二物理,初三语文,初三英语,初三物理,高一高二语文,高一高二英语,高一高二物理,高三物理,|我曾经得过数学和作文方面的奖项，还被评为“苏州市三好学生”！||小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二物理,初三语文,初三英语,初三物理,高一高二语文,高一高二英语,高一高二物理,高三物理,|||
男|山东|1981|上海交通大学（医学院）|硕士在读|硕士在读|外科学|在读硕士生|交谊舞,羽毛球,乒乓球,足球,陪玩|本人爱好运动,各项体育活动都比较喜欢,所以如有业余兴趣爱好培养交流的朋友可以与我联系,希望与你成为朋友.本人还特喜欢交谊舞--慢三&nbsp;&nbsp;探戈等如有娱乐需要可以联系我呦!||交谊舞,羽毛球,乒乓球,足球,陪玩|||
男|云南|1982|昆明理工大学|本科毕业|本科毕业|计算机科学与技术|软件工程师|小学英语,初一初二英语,初三英语,高一高二英语,高三英语,英语四级,英语六级,计算机基本操作,初级数据库,高级数据库,计算机应用能力初级,计算机应用能力中级,高级网站开发,图像处理软件,程序设计初级,程序设计高级,|2005年10月获得了中国计算机科学与软件技术专业－软件设计师资格证；大学二年级通过大学英语四六级考试；2005年11月获得国际交流英语证书||小学英语,初一初二英语,初三英语,高一高二英语,高三英语,英语四级,英语六级,计算机基本操作,初级数据库,高级数据库,计算机应用能力初级,计算机应用能力中级,高级网站开发,图像处理软件,程序设计初级,程序设计高级,|||
女|江苏|1985|同济大学（四平路）|本科在读|本科在读|建筑设施智能技术|本科大三学生|小学数学,初一初二数学,初一初二物理,初一初二化学,初三物理,初三数学,初三化学,高一高二物理,高一高二化学,高一高二数学,高三数学,高三物理,高三化学,|性格开朗,喜欢运动,善于与人交往||小学数学,初一初二数学,初一初二物理,初一初二化学,初三物理,初三数学,初三化学,高一高二物理,高一高二化学,高一高二数学,高三数学,高三物理,高三化学,|||
女|江苏|1982|南通大学|本科毕业|本科毕业|数学与应用数学|离职初中教师|小学英语,小学数学,小学奥数,初一初二英语,初一初二物理,初一初二化学,初三数学,高一高二数学,|有教学经验，并且了解学生的心理||小学英语,小学数学,小学奥数,初一初二英语,初一初二物理,初一初二化学,初三数学,高一高二数学,|数学|0|中学一级教师
男|山东|1983|同济大学沪东校区|硕士在读|硕士在读|固体力学|在读硕士生|小学数学,初一初二数学,初一初二物理,初三数学,初三物理,高一高二物理,|||小学数学,初一初二数学,初一初二物理,初三数学,初三物理,高一高二物理,|||
男|上海|1982|上海交通大学（闵行）|硕士在读|硕士在读|机械设计及理论|在读硕士生|初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三英语,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,精准普通话,|本人性格随和，有亲和力，对人有耐性，在大学里多次获得奖学金。在上初中和高中时数理化成绩很好，在大学通过英语六级。本人以引导为主，希望通过引导能够使学生掌握适合自己的学习方法。||初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三英语,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,精准普通话,|||
女|广东|1977|中国美术学院|大专毕业|大专毕业|美术|自由职业者|美术,卡通画,西洋画,图像处理软件,|美术（油画，素描，水粉，儿童画）设计||美术,卡通画,西洋画,图像处理软件,|||
女|湖南|1982|东华大学（长宁）|本科在读|本科在读|环境艺术设计|本科大四学生|小学语文,精准普通话,美术,网页设计与制作,动画制作,室内外手绘效果图，ＡutoＣＡＤ|我有１４年学习美术的经历，曾获得多项省市级以上奖励．我具有较好的专业水平，能出色的独立完成专业项目．||小学语文,精准普通话,美术,网页设计与制作,动画制作,室内外手绘效果图，ＡutoＣＡＤ|||
女|江苏|1983|同济大学（四平路）|本科在读|本科在读|土木工程|本科大四学生|小学英语,小学数学,|我经常教数学，英语．||小学英语,小学数学,|||
男|福建|1982|同济大学（其它）|硕士在读|硕士在读|管理科学与工程|在读硕士生|小学数学,初一初二英语,初一初二数学,初一初二物理,初三英语,初三数学,初三物理,高一高二数学,高三数学,高三物理,高等数学,|||小学数学,初一初二英语,初一初二数学,初一初二物理,初三英语,初三数学,初三物理,高一高二数学,高三数学,高三物理,高等数学,|||
男|安徽|1982|华东师范大学（普陀）|硕士在读|硕士在读|课程与教学系|在读硕士生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,高一高二语文,高一高二英语,高三语文,|性格开朗，有耐心，读本科的时候，带了许多家教，经验非常丰富！擅长启发教学，循循善诱，因才而教。||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,高一高二语文,高一高二英语,高三语文,|||
男|江苏|1986|同济大学（四平路）|本科在读|本科在读|机械设计制造与自动化|本科大三学生|小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,高考心里辅导,|高中化学竞赛三等奖英语四级||小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,高考心里辅导,|||
男|上海|1983|同济大学（嘉定）同济|本科在读|本科在读|汽车|本科大四学生|上海话,高三英语,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,英语六级,商务英语,高级牛津英语,初级德语,初一初二英语,初三英语,中考心里辅导,高考心里辅导,高一高二英语,|高中英语3年家教经验,大学英语四六级,大学德语四六级,中级口译,高级口译,口语流利,有填志愿辅导经验,熟悉各大学具体情况,及各专业的优劣||上海话,高三英语,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,英语六级,商务英语,高级牛津英语,初级德语,初一初二英语,初三英语,中考心里辅导,高考心里辅导,高一高二英语,|||
男|河南|1986|同济大学（四平路）|本科在读|本科在读|材料科学与工程|本科大三学生|小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三化学,|数理化比较得心应手，英语也不错我爸爸是中学老师，受其熏陶，我的教育水平还是不错的，大一时曾带过两个高三的和一个高一的学生，从我的自我感觉来说，还算可以，学生反映很不错．||小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三化学,|||
女|江苏|1979|苏州大学|本科毕业|本科毕业|英语|自由职业者|小学英语,小学语文,小学数学,初一初二英语,初一初二语文,初三英语,初一初二数学,中考心里辅导,高一高二英语,精准普通话,初级英语口语,初级新概念英语,英语四级,英语六级,|1.教学耐心，认真，负责；2.为人和善，亲切，稳重；3.教学方法简单易懂，举一反三；4.课堂气氛轻松融合，寓教于乐；5.善于针对学生具体情况，设计有针对性的教学方案。||小学英语,小学语文,小学数学,初一初二英语,初一初二语文,初三英语,初一初二数学,中考心里辅导,高一高二英语,精准普通话,初级英语口语,初级新概念英语,英语四级,英语六级,|||
男|江苏|1983|上海交通大学（徐家汇）|本科在读|本科在读|工商管理|本科大四学生|初级牛津英语,英语四级,高一高二英语,高一高二数学,高三英语,高三数学,|CET-6,曾在高中参加奥林匹克竞赛，获江苏省二等奖||初级牛津英语,英语四级,高一高二英语,高一高二数学,高三英语,高三数学,|||
女|河北|1984|同济大学（四平路）|本科在读|本科在读|电子科技|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二数学,初一初二英语,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,中考心里辅导,高一高二语文,高一高二数学,标准普通话|曾多次获得县三好学生.优秀队员.优秀团员.并是入党积极分子.学习认真刻苦.成绩优秀。多次获得奖学金.||小学语文,小学数学,小学英语,初一初二语文,初一初二数学,初一初二英语,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,中考心里辅导,高一高二语文,高一高二数学,标准普通话|||
男|上海|1983|复旦大学（邯郸路）|本科在读|本科在读|英语（商务）|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,上海话,计算机基本操作,计算机应用能力初级,乒乓球,粤语|表达能力强，有一定的学科知识，为人和蔼！有耐心、爱心。||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,上海话,计算机基本操作,计算机应用能力初级,乒乓球,粤语|||
男|上海|1969|中国书法家协会培训中心|本科毕业|本科毕业|书法|自由职业|书法,|上海大中学生艺术节书法一等奖全国中青年书法大赛优秀奖全国文明杯写字段位大赛佳作奖遵义杯全国书画印大赛优胜奖全国中青年书法家协会会员上海中华书法家协会会员上海青年书法家协会会员全国书画印研究中心研究员东方艺术中心研究员上海照相机厂摄影协会宣传干事，上海大学摄影高级研修班舟山市羽毛球单打冠军中国象棋/国际象棋大学系冠军||书法,|||
女|安徽|1987|上海交通大学（闵行）|本科在读|本科在读|英语(商务`金融)|本科大三学生|高一高二英语,初一初二英语,初级英语口语,高三英语,|曾先后获得全国中学生英语能力竞赛二等奖,全省英语竞赛一等奖，交大新生英语辩论赛最佳辩手,在高中就已通过大学英语四六级考试,善于交流沟通,有耐心,小提琴已过六级||高一高二英语,初一初二英语,初级英语口语,高三英语,|||
